Rank,Name,Country
898.0,Nanjing University of Information Science and Technology,China
899.0,The Open University,United Kingdom
900.0,Yıldız Technical University,Turkey
901.0,Chonnam National University,South Korea
902.0,Shri Mata Vaishno Devi University,India
903.0,Zahedan University of Medical Sciences,Iran
904.0,University of Ljubljana,Slovenia
905.0,University of the Punjab,Pakistan
906.0,Northeast Normal University,China
907.0,Charles Sturt University,Australia
908.0,Birmingham City University,United Kingdom
909.0,University of Tunis El Manar,Tunisia
910.0,Guilan University of Medical Sciences,Iran
911.0,The Islamia University of Bahawalpur,Pakistan
912.0,Florida Institute of Technology,United States
913.0,University of Malta,Malta
914.0,North China Electric Power University,China
915.0,Siksha ‘O’ Anusandhan,India
916.0,University of Wolverhampton,United Kingdom
917.0,Delhi Technological University,India
918.0,Ferdowsi University of Mashhad,Iran
919.0,North South University,Bangladesh
920.0,Pablo de Olavide University,Spain
921.0,Sumy State University,Ukraine
922.0,Kazan Federal University,Russian Federation
923.0,Bahçeşehir University,Turkey
924.0,University of Salento,Italy
925.0,Shiraz University,Iran
926.0,Savitribai Phule Pune University,India
927.0,Gabriele d‘Annunzio University,Italy
928.0,Sogang University,South Korea
929.0,Guangzhou Medical University,China
930.0,Wenzhou Medical University,China
931.0,Jeonbuk National University,South Korea
932.0,Chengdu University,China
933.0,Ilam University of Medical Sciences,Iran
934.0,National Veterinary School of Alfort (EnvA),France
935.0,Bucharest University of Economic Studies,Romania
936.0,Carlos III University of Madrid,Spain
937.0,University of Girona,Spain
938.0,Old Dominion University,United States
939.0,University of Gujrat,Pakistan
940.0,"University of Engineering and Technology, Peshawar",Pakistan
941.0,Lithuanian University of Health Sciences,Lithuania
942.0,Tokyo Medical University,Japan
943.0,University of Savoie Mont Blanc,France
944.0,Robert Gordon University,United Kingdom
945.0,Université de Bretagne Occidentale,France
946.0,Medical University of Lodz,Poland
947.0,Portland State University,United States
948.0,K.N. Toosi University of Technology,Iran
949.0,Indian Institute of Technology Gandhinagar,India
950.0,Wakayama Medical University,Japan
951.0,University of Medicine and Pharmacy Carol Davila,Romania
952.0,Zhejiang Gongshang University,China
953.0,Al-Azhar University,Egypt
954.0,University of Alcalá,Spain
955.0,Jaume I University,Spain
956.0,University of Foggia,Italy
957.0,Shahid Beheshti University,Iran
958.0,Najran University,Saudi Arabia
959.0,Kingston University,United Kingdom
960.0,Covenant University,Nigeria
961.0,Kaohsiung Medical University,Taiwan
962.0,Shahrekord University of Medical Sciences,Iran
963.0,University of Memphis,United States
964.0,Khwaja Fareed University of Engineering and Information Technology,Pakistan
965.0,University of the South Pacific,Fiji
966.0,Novosibirsk State University,Russian Federation
967.0,Sheffield Hallam University,United Kingdom
968.0,Okayama University,Japan
969.0,University of the Balearic Islands,Spain
970.0,University of Central Punjab,Pakistan
971.0,Ozyegin University,Turkey
972.0,PMAS Arid Agriculture University Rawalpindi,Pakistan
973.0,University of Texas at El Paso,United States
974.0,Jaypee University of Information Technology,India
975.0,Federal University of Minas Gerais,Brazil
976.0,Management & Science University (MSU),Malaysia
977.0,"National Institute of Technology, Tiruchirappalli",India
978.0,Universitat Internacional de Catalunya,Spain
979.0,University of Sannio,Italy
980.0,Catholic University of Portugal,Portugal
981.0,JSS Academy of Higher Education and Research,India
982.0,National Autonomous University of Mexico,Mexico
983.0,University of Castilla-La Mancha,Spain
984.0,University of Nova Gorica,Slovenia
985.0,Yuan Ze University,Taiwan
986.0,China Pharmaceutical University,China
987.0,University of Seoul,South Korea
988.0,Arts et Métiers,France
989.0,Indian Institute of Technology Ropar,India
990.0,Jashore University of Science and Technology,Bangladesh
991.0,Isfahan University of Medical Sciences,Iran
992.0,University of Clermont Auvergne,France
993.0,University of Camerino (Unicam),Italy
994.0,Changsha University of Science and Technology,China
995.0,Universidade Federal de São Paulo (UNIFESP),Brazil
996.0,University of Central Lancashire,United Kingdom
997.0,Wilfrid Laurier University,Canada
998.0,Reichman University,Israel
999.0,Al al-Bayt University,Jordan
1000.0,Islamic University of Madinah,Saudi Arabia
1001.0,University of Mohaghegh Ardabili,Iran
1002.0,University of Zaragoza,Spain
1003.0,Montana State University,United States
1004.0,University of Belgrade,Serbia
1005.0,Technische Universität Ilmenau,Germany
1006.0,Shantou University,China
1007.0,Technical University of Madrid,Spain
1008.0,Hamadan University of Medical Sciences (UMSHA),Iran
1009.0,Yokohama City University,Japan
1010.0,Kyoto Prefectural University of Medicine,Japan
1011.0,University of Chile,Chile
1012.0,Khulna University of Engineering and Technology (KUET),Bangladesh
1013.0,University of Ibadan,Nigeria
1014.0,Alexandria University,Egypt
1015.0,Lakehead University,Canada
1016.0,"National Institute of Technology, Raipur",India
1017.0,University of Pécs,Hungary
1018.0,Chiba University,Japan
1019.0,Universidade Federal de Santa Catarina,Brazil
1020.0,University of Kurdistan,Iran
1021.0,Athens University of Economics and Business,Greece
1022.0,Bartin University,Turkey
1023.0,Zanjan University of Medical Sciences,Iran
1024.0,University of Rajshahi,Bangladesh
1025.0,Bangladesh University of Engineering and Technology,Bangladesh
1026.0,Sechenov University,Russian Federation
1027.0,Tokyo University of Agriculture and Technology,Japan
1028.0,University of La Laguna,Spain
1029.0,San Diego State University,United States
1030.0,Northern Border University,Saudi Arabia
1031.0,Fujita Health University,Japan
1032.0,Palacký University Olomouc,Czech Republic
1033.0,University of Bisha,Saudi Arabia
1034.0,New Valley University,Egypt
1035.0,Hazara University Mansehra,Pakistan
1036.0,Kore University of Enna,Italy
1037.0,Clarkson University,United States
1038.0,University of Latvia,Latvia
1039.0,University of Murcia,Spain
1040.0,University of Dhaka,Bangladesh
1041.0,University of Algarve,Portugal
1042.0,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,Pakistan
1043.0,Kumamoto University,Japan
1044.0,Aswan University,Egypt
1045.0,University of Peshawar,Pakistan
1046.0,Riphah International University,Pakistan
1047.0,University of Bedfordshire,United Kingdom
1048.0,Ural Federal University,Russian Federation
1048.0,Shanghai Normal University,China
1050.0,ZHAW Zurich University of Applied Sciences,Switzerland
1051.0,Bahria University,Pakistan
1052.0,Istanbul Gelişim University,Turkey
1053.0,University of the Azores,Portugal
1054.0,University of Oviedo,Spain
1055.0,University of Alicante,Spain
1056.0,"University of the Andes, Colombia",Colombia
1057.0,Vilnius University,Lithuania
1058.0,Indraprastha Institute of Information Technology Delhi,India
1059.0,"Amity University Rajasthan, Jaipur",India
1060.0,National Taipei University of Technology,Taiwan
1061.0,Zagazig University,Egypt
1062.0,Bahauddin Zakariya University,Pakistan
1063.0,Islamia College Peshawar,Pakistan
1064.0,Chungnam National University,South Korea
1065.0,Universiti Malaysia Terengganu (UMT),Malaysia
1066.0,Universiti Sultan Zainal Abidin,Malaysia
1067.0,Chiang Mai University,Thailand
1068.0,Central Michigan University,United States
